row,manufacturer,code,description,qty
1,Festo,18200,10P-10-4A-AO-R-Y-4M+PZ,1
2,Festo,18200,10P-10-4A-AZ-R-Y-4M+PZ,1
3,Festo,18200,10P-10-4A-FB-R-V-4D,1
4,Festo,18200,10P-10-4A-MP-R-V-C3M,1
5,Festo,18200,10P-10-4A-MP-R-Z-4M+GQCA,1
6,Festo,18200,10P-10-4C-AO-R-Y-4M+V,1
7,Festo,18200,10P-10-4C-MP-R-Y-4M-UL1+V,1
8,Festo,18200,10P-10-6A-MP-N-B-6J+THR,1
9,Festo,18200,10P-10-6A-MP-R-B-5ML+UK,1
10,Festo,18200,10P-10-8A-D1-N-Y-8C+GEGQCA,1
11,Festo,18200,10P-10-8A-D1-N-Z-8M+GCPA,1
12,Festo,18200,10P-10-8A-D1-N-Z-8M+GCPUA,1
13,Festo,18200,10P-10-8A-D1-R-V-6DLL+GC,1
14,Festo,18200,10P-10-8A-D1-R-Y-8C+GCGQCA,1
15,Festo,18200,10P-10-8A-D1-R-Y-8C+GEGQC,1
16,Festo,18200,10P-10-8A-D1-R-Y-8C+GEP,1
17,Festo,18200,10P-10-8A-D1-R-Z-8C+GCP,1
18,Festo,18200,10P-10-8A-D1-R-Z-8C+GEP,1
19,Festo,18200,10P-10-8A-D2-R-Y-8C+GEGQCNBA,1
20,Festo,18200,10P-10-8A-D2-R-Y-8C+GEGQCZND,1
21,Festo,18200,10P-10-8A-D2-R-Y-8M+GEGQCNBA,1
22,Festo,18200,10P-10-8A-FB-N-Z-8M+PA,1
23,Festo,18200,10P-10-8A-FB-N-Z-8M+PUA,1
24,Festo,18200,10P-10-8A-FB-R-Y-8C,1
25,Festo,18200,10P-10-8A-FB-R-Y-8C+GQCZ,1
26,Festo,18200,10P-10-8A-MP-R-B-6MLL+UK,1
27,Festo,18200,10P-10-8A-MP-R-U-8M,1
28,Festo,18200,10P-10-8A-MP-R-Y-8C+GQCZR,1
29,Festo,18200,10P-10-8A-MP-R-Y-8M+PTR,1
30,Festo,18200,10P-10-8C-MP-R-G-8C+MR,1
31,Festo,18200,10P-10-8C-MP-R-K-6MCC+MR,1
32,Festo,18210,10P-14-4A-MP-R-V-4M+ZU,1
33,Festo,18210,10P-14-4C-AO-R-Y-4M+PT,1
34,Festo,18210,10P-14-4C-AO-R-Y-MMLL+PT,1
