№,Наименование сделки,Статус,Дата создания сделки,Даты первой оплаты сделки,Контрагент,Наименование товара,Артикул товара,Категория товара,"Цена товара, ю",ВХОД. ю,ВХОД. $,Менеджер по продажам,Снабженец
2927.0,"Пневмопроект, Раис, TLM1613N-20 трубка химическая",1. Принято в расчет,2023-01-05T00:00:00,,Пневмопроект,,,,,10.0,75.0,Светлана Васильева,Мария Антропова
2928.0,"Пневмопроект, Раис, SMC от 23.12_1",1. Принято в расчет,2023-01-05T00:00:00,,Пневмопроект,,,,,10.15,73.0,Светлана Васильева,Мария Антропова
2929.0,"Пневмопроект, Князьков, Реле расхода от 23.12",1. Принято в расчет,2023-01-05T00:00:00,,Пневмопроект,,,,,10.15,73.0,Светлана Васильева,
2930.0,"Пневмопроект, Раис, MS6-SV-12-E-10V24-SO-A4-MP3-UL1 КЛАПАН 548713",1. Принято в расчет,2023-01-05T00:00:00,,Пневмопроект,,,,,10.14,73.0,,
2931.0,"Пневмопроект, Раис, SMC от 27.12",1. Принято в расчет,2023-01-06T00:00:00,,Пневмопроект,,,,,10.14,73.0,Светлана Васильева,
2932.0,"Пневмопроект, Раис, Датчик вакуума ZSE40AF-01-V",1. Принято в расчет,2023-01-06T00:00:00,,Пневмопроект,,,,,10.14,73.0,Светлана Васильева,
2933.0,"Пневмопроект, Андрей, ПНЕВМОРАСПРЕДЕЛИТЕЛЬ VP4150-103D",1. Принято в расчет,2023-01-06T00:00:00,,Пневмопроект,,,,,10.16,73.0,Светлана Васильева,
2934.0,"Пневмопроект, Раис, HEE-D-MAXI-24 КЛАПАН 172962",1. Принято в расчет,2023-01-06T00:00:00,,Пневмопроект,,,,,10.16,73.0,Светлана Васильева,
2935.0,"Пневмопроект, Андрей, Festo от 29.12",1. Принято в расчет,2023-01-06T00:00:00,,Пневмопроект,,,,,10.16,73.0,Светлана Васильева,
2936.0,"Пневмопроект, Андрей, SMC от 29.12",1. Принято в расчет,2023-01-06T00:00:00,,Пневмопроект,,,,,10.16,73.0,Светлана Васильева,
2937.0,"Пневмопроект, Князьков, Коннектор",1. Принято в расчет,2023-01-06T00:00:00,,Пневмопроект,,,,,10.16,73.0,Светлана Васильева,
2938.0,"РСК, Форсунка 095000-0562/6218-11-3101",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.16,75.0,Светлана Васильева,Мария Антропова
2939.0,"РСК, Насосы под клиента от 27.12",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.16,75.0,Светлана Васильева,Мария Антропова
2940.0,"РСК, 6211-11-3131 соединитель 6 шт",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.16,75.0,Светлана Васильева,Мария Антропова
2941.0,"РСК, Dump truck parts 12.23 (002)",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.16,75.0,Светлана Васильева,Мария Антропова
2945.0,"Игорь Холодарь, наборы 250 штук январь",12. Документы выписаны,2023-01-07T00:00:00,2023-01-06T16:00:00,Игорь Холодарь,,,,,9.907477020602219,74.0,Татьяна Таскаева,Мария Антропова
2946.0,"РСК, Клапан HD785-7 - 56b-43-12402",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.16,75.0,Светлана Васильева,Мария Антропова
2947.0,"РСК, Прокладки 6240-19-1810",12. Документы выписаны,2023-01-07T00:00:00,2023-01-12T00:00:00,"ООО ""РСК""",,,,,9.642552200958836,75.0,Светлана Васильева,Мария Антропова
2948.0,"РСК, Насосы для PC2000-8",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.16,75.0,Светлана Васильева,Мария Антропова
2949.0,"РСК, Комацу от 20.12",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.16,75.0,Светлана Васильева,Мария Антропова
2950.0,"РСК, Комацу заказ общий от 21.12",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,11.16,76.96,Светлана Васильева,Мария Антропова
2951.0,"РСК, Евгений, 6138-61-1330 КРЫЛЬЧАТКА",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.14,75.0,Светлана Васильева,Мария Антропова
2952.0,"РСК, Мурат, Ремкомплект 6212-K1-9901 GASKET KIT",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.14,75.0,Светлана Васильева,Мария Антропова
2953.0,"РСК, Комацу PC500 запрос",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.14,75.0,Светлана Васильева,Мария Антропова
2954.0,"РСК, Список з-ч из SRV",1. Принято в расчет,2023-01-07T00:00:00,,"ООО ""РСК""",,,,,10.14,75.0,Светлана Васильева,Мария Антропова
2955.0,"КИП ТЕХНО, SMC большая заявка",1. Принято в расчет,2023-01-08T00:00:00,,КИП ТЕХНО,,,,,10.5,72.0,Марина Аверина,Мария Антропова
2956.0,"Пневмопроект, Андрей, G631–3004B Сервоклапан Moog",1. Принято в расчет,2023-01-09T00:00:00,,Пневмопроект,,,,,10.14,75.0,Светлана Васильева,Никита Петров
2957.0,"Семён Панин, 01.12 таблеточный пресс ZP-9B",1. Принято в расчет,2023-01-09T00:00:00,,Семен Панин,,,,,10.2,72.0,,
2958.0,"Пневмопроект, Раис, Festo от 22.12_2",1. Принято в расчет,2023-01-09T00:00:00,,Пневмопроект,,,,,10.14,75.0,Светлана Васильева,Мария Антропова
2959.0,"ВЕСТКОМ, 26.12.22 Bosch Rexroth",1. Принято в расчет,2023-01-09T00:00:00,,ВЕСТКОМ,,,,,10.5,72.0,Марина Аверина,Мария Антропова
2960.0,"Пневмопроект, Раис, Festo от 8.12!",1. Принято в расчет,2023-01-09T00:00:00,,Пневмопроект,,,,,10.14,75.0,,
2961.0,"Смартавтоматика, заявка 9 аналог Guessmann",1. Принято в расчет,2023-01-09T00:00:00,,СмартАвтоматика,,,,,10.2,72.0,Татьяна Таскаева,Никита Петров
2962.0,"Смартавтоматика, заявка 9 аналог Guessmann 10шт",1. Принято в расчет,2023-01-09T00:00:00,,СмартАвтоматика,,,,,10.2,72.0,,
2963.0,"Пневмопроект, Раис, Festo от 8.12_1",12. Документы выписаны,2023-01-09T00:00:00,2023-01-09T00:00:00,Пневмопроект,,,,,9.907476374570447,75.0,Светлана Васильева,Мария Антропова
2964.0,"Далс Инжиниринг, заказ 46 SMC (30545)",1. Принято в расчет,2023-01-09T00:00:00,,Далс Инжиниринг,,,,,11.2,77.0,Марина Аверина,Мария Антропова
2965.0,"Далс Инжиниринг, заказ 48 NORGREN (30572)",1. Принято в расчет,2023-01-09T00:00:00,,Далс Инжиниринг,,,,,10.2,72.0,,
2966.0,"Дисон, P164919 фильтр гидравлический",1. Принято в расчет,2023-01-09T00:00:00,,Дисон,,,,,10.15,75.0,Татьяна Таскаева,Мария Антропова
2967.0,"Пневмопроект, Раис, SMC от 23.12_2",1. Принято в расчет,2023-01-09T00:00:00,,Пневмопроект,,,,,10.2,75.0,,Мария Антропова
2968.0,"Пневмопроект, Раис, SMC от 23.12_2.",12. Документы выписаны,2023-01-09T00:00:00,2023-01-18T00:00:00,Пневмопроект,,,,,10.4230966029724,75.0,Светлана Васильева,Мария Антропова
2969.0,"Пневмопроект, Князьков, Belimo",1. Принято в расчет,2023-01-09T00:00:00,,Пневмопроект,,,,,10.16,75.0,Светлана Васильева,Мария Антропова
2970.0,"Пневмопроект, Раис, Festo от 8.12_2",12. Документы выписаны,2023-01-09T00:00:00,2019-10-04T01:00:00,Пневмопроект,,,,,10.14,75.0,Светлана Васильева,Мария Антропова
2971.0,"Дмитрий Сухарев, 28.12 тиристорный модуль",1. Принято в расчет,2023-01-10T00:00:00,,Дмитрий Сухарев,,,,,10.3,71.0,Татьяна Таскаева,Мария Антропова
2972.0,"Далс Инжиниринг, заказ 48 NORGREN (30572)1",12. Документы выписаны,2023-01-10T00:00:00,2023-01-30T00:00:00,Далс Инжиниринг,,,,,11.613391203703703,70.0,Марина Аверина,Мария Антропова
2973.0,"Пневмопроект, Раис, SPAU-V1R-H-Q4D-L-PNLK-PNVBA-M8D ДАТЧИК ДАВЛ 8001213!",12. Документы выписаны,2023-01-10T00:00:00,2023-01-09T00:00:00,Пневмопроект,,,,,9.907475826972009,75.0,Светлана Васильева,Мария Антропова
2974.0,"ВЕСТКОМ, 26.12.22 Bosch Rexroth (поставщик 2)",1. Принято в расчет,2023-01-10T00:00:00,,Вестком,,,,,10.3,72.0,,
2975.0,"Квадро-СМ, SMC27",1. Принято в расчет,2023-01-10T00:00:00,,Квадро-СМ,,,,,10.55,75.0,,
2976.0,Филтекс 225,12. Документы выписаны,2023-01-10T00:00:00,2019-09-23T01:00:00,ФИЛТЕКС,,,,,10.4,0.0,Марина Аверина,Намер Салех
2977.0,"Квадро-СМ, 27SMC от 10.01",12. Документы выписаны,2023-01-10T00:00:00,2019-10-04T01:00:00,ООО Квадро-СМ,,,,,11.456596505873234,75.0,Светлана Васильева,Мария Антропова
2978.0,"Пневмопроект, Князьков, SMC от 10.01",1. Принято в расчет,2023-01-10T00:00:00,,Пневмопроект,,,,,10.55,75.0,Светлана Васильева,Мария Антропова
2979.0,"РСК, Dump truck parts 12.23 (002)_2",1. Принято в расчет,2023-01-10T00:00:00,,"ООО ""РСК""",,,,,10.55,75.0,,
2980.0,"Нордтехкомплект, CAT",1. Принято в расчет,2023-01-10T00:00:00,,Нордтехкомплект,,,,,10.55,75.0,Светлана Васильева,Мария Антропова
2981.0,"РСК, Егор, Copko_1",1. Принято в расчет,2023-01-11T00:00:00,,"ООО ""РСК""",,,,,10.5,75.0,Светлана Васильева,Мария Антропова
2982.0,"ВЕСТКОМ, 2023 Запчасти Keyence id709127",1. Принято в расчет,2023-01-11T00:00:00,,ВЕСТКОМ,,,,,10.3,70.0,Марина Аверина,Никита Петров
2983.0,"ВЕСТКОМ, 2023 Запчасти Advantech (id700961)",1. Принято в расчет,2023-01-11T00:00:00,,ВЕСТКОМ,,,,,10.3,70.0,Марина Аверина,Никита Петров
2984.0,"Пневмопроект, Князьков, Festo от 24.10_2",1. Принято в расчет,2023-01-11T00:00:00,,Пневмопроект,,,,,10.55,75.0,Светлана Васильева,Мария Антропова
2985.0,"ВЕСТКОМ, 2023 Запчасти Banner (id700964)",1. Принято в расчет,2023-01-11T00:00:00,,ВЕСТКОМ,,,,,10.3,70.0,Марина Аверина,Никита Петров
2986.0,"Пневмотехнологии, 10.01",1. Принято в расчет,2023-01-11T00:00:00,,ПневмоТехнологии,,,,,10.3,70.0,Татьяна Таскаева,Мария Антропова
2987.0,"Пневмопроект, Раис, MS4-LR-1/4-D7-AS РЕГУЛЯТОР ДАВЛ. 529419",1. Принято в расчет,2023-01-11T00:00:00,,Пневмопроект,,,,,10.55,75.0,Светлана Васильева,Мария Антропова
2988.0,"Константин Кошелев, косметика заказ",1. Принято в расчет,2023-01-11T00:00:00,,"ООО ""Акка""",,,,,10.3,0.0,Татьяна Таскаева,Мария Антропова
2989.0,"РСК, Егор, Форсунка Caterpillar 387-9427",1. Принято в расчет,2023-01-11T00:00:00,,"ООО ""РСК""",,,,,10.55,75.0,Светлана Васильева,Мария Антропова
2990.0,"ВЕСТКОМ, 2023 Запчасти Baumer id709110",1. Принято в расчет,2023-01-11T00:00:00,,ВЕСТКОМ,,,,,10.3,70.0,Марина Аверина,Никита Петров
2991.0,"ВЕСТКОМ, 2023 Запчасти Dold id709122",1. Принято в расчет,2023-01-11T00:00:00,,ВЕСТКОМ,,,,,10.3,70.0,Марина Аверина,Никита Петров
2992.0,"ВЕСТКОМ, 2023 Запчасти GE Fanuc (id700973)",1. Принято в расчет,2023-01-11T00:00:00,,ВЕСТКОМ,,,,,10.3,70.0,Марина Аверина,Никита Петров
2993.0,"ВЕСТКОМ, 2023 Запчасти Relpol (id700989)",1. Принято в расчет,2023-01-11T00:00:00,,ВЕСТКОМ,,,,,10.3,70.0,Марина Аверина,Никита Петров
2994.0,"ВЕСТКОМ, 2023 Запчасти Weintek (id700998)",1. Принято в расчет,2023-01-11T00:00:00,,ВЕСТКОМ,,,,,10.3,70.0,Марина Аверина,Никита Петров
2995.0,"ВЕСТКОМ, 2023 Запчасти Delta Electronics id700969",12. Документы выписаны,2023-01-11T00:00:00,2019-09-26T01:00:00,ВЕСТКОМ,,,,,10.375009022013714,74.0,Марина Аверина,Никита Петров
2996.0,"РСК, 561-40-83300 Клапан рулевого управления Komatsu HD785-7",1. Принято в расчет,2023-01-12T00:00:00,,"ООО ""РСК""",,,,,10.0,67.0,Светлана Васильева,Никита Петров
2997.0,"РСК, Егор, Rexroth, оригинал",1. Принято в расчет,2023-01-12T00:00:00,,"ООО ""РСК""",,,,,10.4,75.0,,
2998.0,"Нордтехкомплект, Гидромотор M5AF 018 1R02 B1W 00000",1. Принято в расчет,2023-01-12T00:00:00,,"ООО ""РСК""",,,,,10.35,70.0,,
2999.0,"Пневмопроект, Андрей, Festo от 10.01",1. Принято в расчет,2023-01-12T00:00:00,,Пневмопроект,,,,,10.4,70.0,Светлана Васильева,
3000.0,"Далс Инжиниринг, заказ 54 FESTO (30610)",1. Принято в расчет,2023-01-12T00:00:00,,Далс Инжиниринг,,,,,10.2,71.0,Марина Аверина,Мария Антропова
3001.0,"Пневмопроект, Андрей, SMC от 10.01",1. Принято в расчет,2023-01-12T00:00:00,,Пневмопроект,,,,,11.7,80.68,,
3002.0,"Далс Инжиниринг, заказ 50 SMC (30620)",1. Принято в расчет,2023-01-12T00:00:00,,Далс Инжиниринг,,,,,10.2,71.0,Марина Аверина,Мария Антропова
3003.0,"Пневмопроект, Раис, SMC от 11.01",1. Принято в расчет,2023-01-12T00:00:00,,Пневмопроект,,,,,10.6,71.0,Светлана Васильева,Мария Антропова
3004.0,"Далс Инжиниринг, заказ 49 SMC (30611)",1. Принято в расчет,2023-01-12T00:00:00,,Далс Инжиниринг,,,,,10.2,71.0,Марина Аверина,Мария Антропова
3005.0,"Далс Инжиниринг, заказ 51 FESTO (17523355)",1. Принято в расчет,2023-01-12T00:00:00,,Далс Инжиниринг,,,,,11.15,77.0,Марина Аверина,Мария Антропова
